,Employer Address,Policy Number,Policy Expiration Date,Employer Name,Named Insured,Class Code
0,1541 SE PORT ST LUCIE BLVD STE,WC58600001021SZ,03/01/2022,2ND CHANCE MENTAL HEALTH CENTER LLC,2ND CHANCE MENTAL HEALTH CENTER LLC,8380
1,1541 SE PORT ST LUCIE BLVD STE,WC58600001021SZ,03/01/2022,2ND CHANCE MENTAL HEALTH CENTER LLC,"2ND CHANCE MENTAL HEALTH CENTER, LLC",8380
2,3685 NORTH US 1,AVWCFL2963972021,03/29/2022,A & A AUTO SALVAGE INC,A & A AUTO SALVAGE INC,3821
3,2801 N US HIGHWAY 1,ABWC253952,03/30/2022,A & B WIRELESS & PAGERS INC,A & B WIRELESS & PAGERS INC,8017
4,1230 SE INDUSTRIAL BLVD,AWC1163504,03/16/2022,A&A SUPPLY DBA,A & A SUPPLY CO,8018
5,1230 SE INDUSTRIAL BLVD,AWC1163504,03/16/2022,A&A SUPPLY DBA,FRADONNA ENTERPRISES INC,8018
6,3671 SW VOYAGER ST,FWFL0010587302,03/23/2022,A&J CONSTRUCTION OF FLORIDA LLC,A&J CONSTRUCTION OF FLORIDA LLC,5645
7,3671 SW VOYAGER ST,FWFL0010587302,03/23/2022,A&J CONSTRUCTION OF FLORIDA LLC,A&J CONSTRUCTION OF FLORIDA LLC,5645
8,879 SW SOUTH MACEDO BLVD,WC01000001021,03/01/2022,A1 RESTORATION LLC DBA,KYMBERLY GROUP PAYROLL SOLUTIONS INC,7219
9,10878 S US HIGHWAY 1,6FR13UB7D76429721,03/20/2022,AAA LATH & STUCCO INC,AAA LATH & STUCCO INC,5022
10,302 SE FISK RD,6FR13UB7D76429721,03/20/2022,AAA LATH & STUCCO INC,AAA LATH & STUCCO INC,5022
11,302 SE FISK RD,6FR13UB7D76429721,03/20/2022,AAA LATH & STUCCO INC,AAA LATH & STUCCO INC,5022
12,5936 NW BRENDA CIR,WC2B72170771011,03/30/2022,ACCEDIAN NETWORKS US INC,ACCEDIAN NETWORKS US INC,8742
13,1801 SE HILLMOOR DR STE A-103,TWC3974301,03/30/2022,ACCREDITED MEDICAL PROVIDERS,ACCREDITED MEDICAL PROVIDERS,8832
14,451 SW BETHANY DR STE 201,TWC3974301,03/30/2022,ACCREDITED MEDICAL PROVIDERS,ACCREDITED MEDICAL PROVIDERS,8832
15,4006 MARIAH CIR,52060120,03/01/2022,ACCURATE TRUCK & EQUIPMENT INC,ACCURATE TRUCK & EQUIPMENT INC,8380
16,4006 MARIAH CIR,52060120,03/01/2022,ACCURATE TRUCK & EQUIPMENT INC,ACCURATE TRUCK & EQUIPMENT INC,8380
17,2694 SW BRIGANTINE PL,52055778,03/21/2022,ACT HEATING & COOLING LLC,ACT HEATING & COOLING LLC,5537
18,2694 SW BRIGANTINE PL,52055778,03/21/2022,ACT HEATING & COOLING LLC,ACT HEATING & COOLING LLC,5537
19,3306 SW MARTIN ST,52055778,03/21/2022,ACT HEATING & COOLING LLC,ACT HEATING & COOLING LLC,5537
20,2033 SE LENNARD RD STE 105,83056999,03/01/2022,ACTON AHP LLC,ACTON AHP LLC,9012
21,2339 S US HIGHWAY 1,AWC1164292,03/13/2022,ADVANCED CARE EMERGI CENTER & OCCUPATIONAL HEALTH CLINIC INC,ADVANCED CARE EMERGI CENTER & OCCUPATIONAL HEALTH CLINIC INC,8832
22,12419 SW KEATING DR,767490,03/02/2022,ADVANCED SPRINKLERS INC,ADVANCED SPRINKLERS INC,5183
23,12419 SW KEATING DR,767490,03/02/2022,ADVANCED SPRINKLERS INC,ADVANCED SPRINKLERS INC,5183
24,601 S MARKET AVE,C68954149,03/01/2022,ADVANTAGE AIR CONDITIONING OF THE TREASURE COAST INC,TRINET HR II HOLDINGS INC,8832
25,3504 INDUSTRIAL 27TH ST,C68954149,03/01/2022,AEREX INDUSTRIES INC,TRINET HR II HOLDINGS INC,8832
26,7410 S US HIGHWAY 1 STE 400,MWC018352601,03/24/2022,AFFORDABLE CHOICE CREMATION LLC,SIMPLY CREMATION LLC,9620
27,3500 SE MORNINGSIDE BLVD,C67819299,03/31/2022,AIR AMBULANCE SPECIALISTS INC,AIR AMBULANCE SPECIALISTS INC,7705
28,361 SE FAITH TER,MWC016596702,03/10/2022,AIR CARE SOLUTIONS OF FLORIDA INC,AIR CARE SOLUTIONS OF FLORIDA INC,5537
29,361 SE FAITH TER,MWC016596702,03/10/2022,AIR CARE SOLUTIONS OF FLORIDA INC,AIR CARE SOLUTIONS OF FLORIDA INC,5537
30,585 NW MERCANTILE PL STE 103,52108360,03/21/2022,AIR SOURCE 1 LLC,AIR SOURCE 1 LLC,5537
31,595 NW MERCANTILE PLACE STE 103,52108360,03/21/2022,AIR SOURCE 1 LLC,AIR SOURCE 1 LLC,5537
32,7548 S US HIGHWAY 1,52108360,03/21/2022,AIR SOURCE 1 LLC,AIR SOURCE 1 LLC,5537
33,572 NW AVENS ST,WC624160654,03/15/2022,ALERUS FINANCIAL N A,ALERUS FINANCIAL N A,8855
34,1701 SE HILLMOOR DR,WCV000691103,03/22/2022,ALEXANDRA BERGER MD PA,ALEXANDRA BERGER MD PA,8832
35,2650 SW CALDER ST,ALWC212170,03/05/2022,ALL AMERICAN COOLING INC,ALL AMERICAN COOLING INC,5537
36,2700 S KINGS HWY,TWC3966303,03/25/2022,ALL AMERICAN TRAILER CONNECTION INC,ALL AMERICAN TRAILER CONNECTION INC,8380
37,5212 OKEECHOBEE RD,WC625553326,03/08/2022,ALL CELLULAR FORT MEYERS LLC,ALL CELLULAR FORT MEYERS LLC,8017
38,1742 SE LORRAINE ST,TWC3950298,03/15/2022,ALL CONTRACTOR SERVICES INC,ALL CONTRACTOR SERVICES INC,5183
39,428 SE SUNNYDALE LN,XWS2259655651,03/18/2022,ALL QUALITY LIQUIDATORS LLC,ALL QUALITY LIQUIDATORS LLC,8017
40,4810 SO FEDERAL HIGHWAY,XWS2259655651,03/18/2022,ALL QUALITY LIQUIDATORS LLC,ALL QUALITY LIQUIDATORS LLC,8017
41,521 NW ENTERPRISE DR,XWS2259655651,03/18/2022,ALL QUALITY LIQUIDATORS LLC,ALL QUALITY LIQUIDATORS LLC,8017
42,2691 SW PORT ST LUCIE BLVD,76WEGJY6623,03/24/2022,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,8810
43,2691 SW PORT ST LUCIE BLVD,76WEGJY6623,03/24/2022,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,8810
44,2691 SW PORT ST LUCIE BLVD,76WEGJY6623,03/24/2022,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,8810
45,698 SW PORT ST LUCIE BLVD,76WEGJY6623,03/24/2022,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,ALLY PARKER BROWN TITLE INSURANCE AGENCY LLC,8810
46,1472 SE HUFFMAN RD,WCV0142345,03/13/2022,ALPHA PAINTING CONTRACTORS OF THE TREASURE COAST INC,ALPHA PAINTING CONTRACTORS OF THE TREASURE COAST INC,5606
47,3108 SE MALL TER,52108392,03/26/2022,ALT ELECTRIC INC,ALT ELECTRIC INC,5190
48,3108 SE MALL TER,52108392,03/26/2022,ALT ELECTRIC INC,ALT ELECTRIC INC,5190
49,4330 N HIGHWAY A1A,AWC1163379,03/05/2022,ALTAMIRA AT NORTH HUTCHINSON ISLAND CONDOMINUM ASSN INC,ALTAMIRA AT NORTH HUTCHINSON ISLAND CONDOMINUM ASSN INC,9015
50,531 NW LAKE WHITNEY PL STE 106,83WEBU6934,03/11/2022,ALZHEIMERS DISEASE & RELATED DISORDERS ASSN INC,ALZHEIMERS DISEASE & RELATED DISORDERS ASSN INC,8810
51,1112 SW BAYSHORE BLVD,XWS2258616420,03/07/2022,AMERICAN TIRE & AUTO CARE INC,AMERICAN TIRE & AUTO CARE INC,8380
52,7420 COMMERCIAL CIR,TWC3951972,03/22/2022,AMERICAN WOODWORK INDUSTRY LLC,AMERICAN WOODWORK INDUSTRY LLC,2883
53,3601 CROSSROADS PKWY,TWC3962364,03/16/2022,AMERICLEAN JANITORIAL SERVICES,AMERICLEAN JANITORIAL SERVICES,9014
54,6051 S US HIGHWAY 1 LOT 4,TWC3953205,03/27/2022,AMG BROTHERS CONCRETE INC,AMG BROTHERS CONCRETE INC,5221
55,1449 SW ORIOLE LN,TWC3952471,03/10/2022,AMIGOS CONSTRUCTION SERVICES INC,AMIGOS CONSTRUCTION SERVICES INC,5022
56,1449 SW ORIOLE LN,TWC3952471,03/10/2022,AMIGOS CONSTRUCTION SERVICES INC,AMIGOS CONSTRUCTION SERVICES INC,5022
57,832 SW TROUVILLE AVE,TWC3952471,03/10/2022,AMIGOS CONSTRUCTION SERVICES INC,AMIGOS CONSTRUCTION SERVICES INC,5022
58,1449 SW ORIOLE LN,TWC3952471,03/10/2022,AMIGOS CONSTRUCTION SERVICES INC,"AMIGOS CONSTRUCTION SERVICES, INC",5022
59,1449 SW ORIOLE LN,TWC3952471,03/10/2022,AMIGOS CONSTRUCTION SERVICES INC,"AMIGOS CONSTRUCTION SERVICES, INC",5022
60,832 SW TROUVILLE AVE,TWC3952471,03/10/2022,AMIGOS CONSTRUCTION SERVICES INC,"AMIGOS CONSTRUCTION SERVICES, INC",5022
61,573 SW BILTMORE ST,TWC3949122,03/31/2022,ANDERSEN ANDRE CONSULTING ENGINEERS INC,ANDERSEN ANDRE CONSULTING ENGINEERS INC,8601
62,834 SW SWAN AVE,TWC3949122,03/31/2022,ANDERSEN ANDRE CONSULTING ENGINEERS INC,ANDERSEN ANDRE CONSULTING ENGINEERS INC,8601
63,834 SW SWAN AVE,TWC3949122,03/31/2022,ANDERSEN ANDRE CONSULTING ENGINEERS INC,ANDERSEN ANDRE CONSULTING ENGINEERS INC,8601
64,5950 GLADES CUT OFF RD,WC84000347462021A,03/01/2022,ANDERSON RENTALS INC,ANDERSON RENTALS INC,9402
65,575 NW MERCANTILE PL STE 108,WCV0260704,03/15/2022,ANTHONYS FLOORING DESIGNS INC,ANTHONYS FLOORING DESIGNS INC,5348
66,601 S 33RD ST,EIG472310100,03/01/2022,APOSTOLIC ASSEMBLY OF THE FAIT,APOSTOLIC ASSEMBLY OF THE FAIT,8868
67,1898 SE BOMA AVEVENUE,RT21MWC1110022202,03/01/2022,APPLIANCE BROKERS LIMITED INC,APPLIANCE BROKERS LIMITED INC,8044
68,5000 WEST MIDWAY RD STE 12295,MWC014573703,03/21/2022,AQUA IRRIGATION LLC,AQUA IRRIGATION LLC,5183
69,7548 SOUTH U S #1 - SUITE 147,MWC014573703,03/21/2022,AQUA IRRIGATION LLC,AQUA IRRIGATION LLC,5183
70,323 SW COCONUT KEY WAY,AQWC246011,03/07/2022,AQUATEK POOL SOLUTIONS INC,AQUATEK POOL SOLUTIONS INC,9014
71,PO BOX 880757,AQWC246011,03/07/2022,AQUATEK POOL SOLUTIONS INC,AQUATEK POOL SOLUTIONS INC,9014
72,PO BOX 880757,AQWC246011,03/07/2022,AQUATEK POOL SOLUTIONS INC,AQUATEK POOL SOLUTIONS INC,9014
73,1659 SW LEXINGTON DR,TWC3953689,03/01/2022,ARBOR VILLAGE HOME LLC,ARBOR VILLAGE HOME LLC,8842
74,1659 SW LEXINGTON DR,TWC3953689,03/01/2022,ARBOR VILLAGE HOME LLC,ARBOR VILLAGE HOME LLC,8842
75,5977 NW BAYNARD DR,TWC3953689,03/01/2022,ARBOR VILLAGE HOME LLC,ARBOR VILLAGE HOME LLC,8842
76,5977 NW BAYNARD DR,TWC3953689,03/01/2022,ARBOR VILLAGE HOME LLC,ARBOR VILLAGE HOME LLC,8842
77,6458 NW FOXGLOVE ST,TWC3953689,03/01/2022,ARBOR VILLAGE HOME LLC,ARBOR VILLAGE HOME LLC,8842
78,4995 CONLEY PL,WC01000001021,03/01/2022,ATLANTIC CUSTOM LANDSCAPES INC,ATLANTIC CUSTOM LANDSCAPES INC,7219
79,6900 HERITAGE DR,UB3N63593A2142G,03/13/2022,AUTO PRO TECH INC,AUTO PRO TECH INC,8380
80,6900 HERITAGE DR,UB3N63593A2142G,03/13/2022,AUTO PRO TECH INC,AUTO PRO TECH INC,8380
81,10020 SW OAK TREE CIR,CWD740921708,03/01/2022,AVATAR PROPERTIES INC,AVATAR PROPERTIES INC,5606
82,551 SW BETHANY DR,WC58600001021SZ,03/01/2022,BAMBINI'S KINGDOM INC,KYMBERLY GROUP PAYROLL SOLUTIONS INC,8380
83,1820 SW BAYSHORE BLVD,TWC3950823,03/12/2022,BAYSHORE TIRE & AUTO SERVICE CENTER LLC,BAYSHORE TIRE & AUTO SERVICE CENTER LLC,8380
84,2400 S OCEAN DR,Z136568402,03/16/2022,BEACHTREE II INC,BEACHTREE II INC,9015
85,543 NW LAKE WHITNEY PL STE 101,Z136568402,03/16/2022,BEACHTREE II INC,BEACHTREE II INC,9015
86,2501 SW FAIRGREEN RD,EIG208306407,03/15/2022,BEEPAT ENTERPRISES LLC,BEEPAT ENTERPRISES LLC,9082
87,464 SW PORT ST LUCIE BLVD STE,EIG208306407,03/15/2022,BEEPAT ENTERPRISES LLC,BEEPAT ENTERPRISES LLC,9082
88,15860 W PARK LN,WC201971218,03/28/2022,BEST INDUSTRIES INC,BEST INDUSTRIES INC,5535
89,7485 COMMERCIAL CIR,WC201971218,03/28/2022,BEST INDUSTRIES INC,BEST INDUSTRIES INC,5535
90,240 NW PEACOCK BLVD STE 201,01WBCPG7100,03/22/2022,BEST PRICE CRUISES,VACATION SUPERSTORE NETWORK INC,8810
91,PO BOX 880746,WC7035300,03/31/2022,BIG APPLE PIZZA,BIG APPLE PIZZA,9082
92,PO BOX 880746,WC7035300,03/31/2022,BIG APPLE PIZZA,BIG APPLE PIZZA,9082
93,PO BOX 880746,WC7035300,03/31/2022,BIG APPLE PIZZA,BIG APPLE PIZZA,9082
94,872 SW SAINT LUCIE WEST BLVD,WC7035300,03/31/2022,BIG APPLE PIZZA & PASTA,BIG APPLE PIZZA,9082
95,1310 SW BAYSHORE BLVD,WC7214300,03/31/2022,BIG APPLE PIZZA DBA,BIG APPLE PIZZA OF BAYSHORE INC,9082
96,1310 SW BAYSHORE BLVD,WC7214300,03/31/2022,BIG APPLE PIZZA OF BAYSHORE IN,BIG APPLE PIZZA OF BAYSHORE INC,9082
97,1310 SW BAYSHORE BLVD,WC7214300,03/31/2022,BIG APPLE PIZZA OF BAYSHORE INC,BIG APPLE PIZZA OF BAYSHORE INC,9082
